volume,weight,cylinders,fuel_type,co2
3377,993,5,Diesel,186.43
2090,2074,6,Petrol,222.5
2954,1477,6,Diesel,204.32
3498,1227,6,Diesel,199.65
2248,1895,4,Hybrid,171.07
2354,2082,8,Petrol,226.08
2681,2450,4,Hybrid,202.28
2536,2039,3,Petrol,210.1
2643,1787,3,Petrol,193.09
1260,2440,4,Diesel,190.13
1500,2347,5,Hybrid,178.83
3173,2235,4,Petrol,243.23
2225,901,4,Diesel,149.26
2964,937,6,Hybrid,169.59
2864,1960,8,Diesel,227.16
1435,938,5,Hybrid,125.84
1848,1277,8,Hybrid,155.16
2850,1185,8,Diesel,198.72
3021,2485,8,Diesel,250.76
3381,2065,5,Petrol,235.52
1087,989,8,Diesel,153.78
3185,1449,5,Petrol,211.4
1311,2338,8,Diesel,201.64
2305,1717,4,Hybrid,163.04
1619,2137,3,Diesel,184.96
3128,1965,6,Diesel,232.47
2445,1380,3,Petrol,189.36
2340,1125,3,Diesel,163.25
918,1603,6,Diesel,160.95
3331,1104,8,Hybrid,195.49
2031,1685,4,Petrol,190.94
1431,1438,3,Hybrid,131.14
1974,1141,4,Diesel,156.17
1425,1392,5,Diesel,162.62
1278,1557,3,Diesel,147.08
1171,1873,5,Petrol,184.65
1055,1109,6,Petrol,154.75
3199,1114,5,Hybrid,170.32
1064,982,3,Petrol,131.78
963,1773,4,Hybrid,139.35
2776,1867,3,Petrol,214.48
3386,1300,4,Hybrid,176.78
1414,1974,6,Diesel,194.87
985,2427,3,Diesel,175.47
1033,2256,4,Hybrid,160.21
2421,2405,6,Petrol,234.43
2327,2278,4,Hybrid,204.1
2250,2029,5,Hybrid,193.88
2599,2235,5,Petrol,231.3
2860,1012,6,Hybrid,159.29
1966,2091,5,Diesel,192.75
1604,2427,3,Hybrid,174.82
1608,2231,3,Petrol,197.67
1810,1463,5,Diesel,168.45
2542,1180,5,Diesel,181.8
924,1168,8,Diesel,147.95
2871,2139,5,Hybrid,210.16
2242,2010,4,Hybrid,183.84
2961,1667,8,Hybrid,203.79
2813,1284,8,Petrol,212.97
2525,1526,6,Hybrid,172.12
1782,2291,3,Petrol,198.62
3475,2404,4,Diesel,243.19
1901,2308,6,Petrol,218.21
1655,971,3,Petrol,144.18
2455,1290,5,Diesel,175.71
928,1223,8,Hybrid,129.81
2679,1503,5,Hybrid,183.33
3451,1143,6,Hybrid,179.2
1456,1840,6,Diesel,176.87
3024,1847,8,Hybrid,207.71
2729,2108,6,Petrol,232.76
2761,1244,3,Diesel,175.3
2460,1742,5,Petrol,209.97
1417,2454,3,Hybrid,174.95
3115,2395,3,Petrol,234.68
1673,1124,4,Diesel,137.81
1146,938,4,Petrol,125.71
3371,1273,4,Hybrid,181.63
1653,1794,5,Diesel,178.6
2402,1560,5,Petrol,191.6
2750,1064,4,Hybrid,160.73
1774,2485,6,Diesel,225.61
2410,1546,4,Hybrid,168.35
2269,2189,5,Hybrid,194.33
2924,879,6,Petrol,177.75
3377,1034,5,Petrol,206.07
1015,1719,5,Hybrid,150.49
914,1208,5,Diesel,134.02
2288,2230,5,Diesel,225.4
1986,1648,4,Hybrid,165.37
2164,1952,3,Petrol,201.81
1195,2465,3,Hybrid,165.34
2309,1646,5,Petrol,204.46
1120,1121,8,Diesel,157.51
2524,1193,3,Diesel,163.57
